date,state,city,address,killed,injured,details,incident
"March 11, 2018",Michigan,Saginaw,Cumberland Ave and Hess St,0,5,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1067296
"March 11, 2018",Illinois,Champaign,700 block of N Hickory St,1,3,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1067264
"March 9, 2018",North Carolina,Wadesboro,1300 E Caswell St,3,1,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1066594
"March 9, 2018",Indiana,South Bend,800 block of E Dayton St,0,6,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1067061
"March 7, 2018",Alabama,Hurtsboro,531 Main Street,2,2,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1064514
"March 4, 2018",Illinois,Rockford,400 Howard Ave,1,4,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1062466
"March 3, 2018",Florida,Miami,1300 Block of NW 62nd Ln,0,4,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1062123
"March 3, 2018",New York,Brooklyn,Kings Highway and Utica Avenue,1,3,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1061748
"February 27, 2018",Connecticut,Bridgeport,1306 Stratford Ave,0,4,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1059559
"February 26, 2018",Michigan,Detroit,22000 block of Fenkell Ave,5,0,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1057518
"February 23, 2018",Florida,Palm Beach Gardens (Riviera Beach),W 23rd St,1,3,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1056240
"February 18, 2018",Texas,San Antonio,2893 Cinema Ridge,0,5,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1052372
"February 17, 2018",Kansas,Kansas City,1615 Minnesota,1,7,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1052035
"February 17, 2018",Tennessee,Memphis,3188 N Watkins Ave,0,5,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1051407
"February 16, 2018",Oklahoma,Oklahoma City,S Pennsylvania Ave and SW 15th St,1,3,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1051291
"February 14, 2018",Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1049217
"February 13, 2018",Louisiana,New Orleans,5400 block of Andry Street,2,3,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1049024
"February 11, 2018",Michigan,Detroit,19432 Lamont Street,4,3,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1047761
"February 10, 2018",Kentucky,Paintsville,413 Mill Street,5,0,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1046961
"February 7, 2018",Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1044234
"February 5, 2018",Colorado,Colorado Springs,4225 Galley Rd,2,4,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1043447
"February 3, 2018",Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1042280
"January 31, 2018",Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1040815
"January 28, 2018",Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1037529
"January 28, 2018",Pennsylvania,Reading,123 S 3rd St,4,0,"View Incident
View Source",http://www.gunviolencearchive.org/incident/1038429
